Year,iPhone,Accessories,Mac,iPad,iPod,Services
2007,0.1,1.2,10.3,,8.3,4.0
2008,1.8,1.6,14.2,,9.1,5.5
2009,13.0,1.4,13.8,,8.0,6.4
2010,25.2,1.8,17.5,4.9,8.3,7.5
2011,47.0,2.3,21.8,20.4,7.4,9.7
2012,80.5,2.8,23.2,32.4,5.6,11.9
2013,91.8,5.7,21.5,31.9,4.4,16.0
2014,101.9,6.1,24.1,30.3,2.3,18.1
2015,155.0,10.1,25.5,23.2,,19.9
2016,136.7,11.1,22.8,20.7,,24.5
2017,141.3,12.9,25.8,19.2,,29.9
2018,166.7,17.4,25.5,18.8,,37.1
2019,142.3,24.5,25.7,21.2,,46.3
2020,137.8,30.6,28.6,23.7,,53.7
2021,191.9,38.4,35.1,31.9,,68.4
2022,205.5,41.2,40.2,29.3,,78.1
2023,200.6,39.8,29.3,28.3,,85.2
